recall,precision
1.0,0.0125
1.0,0.012535517299013872
1.0,0.012575452716297788
1.0,0.01261140070623844
1.0,0.0126496879743633
1.0,0.012688208424970393
1.0,0.012744265080713678
1.0,0.012785543811796795
1.0,0.01282051282051282
1.0,0.012857877593005315
1.0,0.012895460797799175
1.0,0.012929919834497027
1.0,0.012969047207331835
1.0,0.013002773925104022
1.0,0.01303780964797914
1.0,0.013076453665765844
1.0,0.013118768584922162
1.0,0.01315904903938942
1.0,0.013198416190057193
1.0,0.01323685139428168
1.0,0.01327433628318584
0.9933333333333333,0.013227982954545454
0.9933333333333333,0.013271577447225439
0.9933333333333333,0.01330832440157199
0.9933333333333333,0.013351254480286739
0.9933333333333333,0.013390851082951379
0.9933333333333333,0.013434316112163015
0.9933333333333333,0.013475626300081396
0.9933333333333333,0.013517191327224893
0.9933333333333333,0.01355901355901356
0.9933333333333333,0.013602337045828009
0.9933333333333333,0.01364343924549034
0.9933333333333333,0.013692335967653005
0.9933333333333333,0.01373651700931133
0.9933333333333333,0.013778435361568338
0.9933333333333333,0.013827023014105419
0.9933333333333333,0.013872078949818453
0.9933333333333333,0.013913530675133066
0.9933333333333333,0.01395653802922443
0.9933333333333333,0.014001127607592558
0.9866666666666667,0.01394647568790049
0.98,0.013902023832040854
0.98,0.013953488372093023
0.98,0.013998666793638702
0.98,0.01404279709591135
0.98,0.014089907025783572
0.9733333333333334,0.014039811520338494
0.9733333333333334,0.014087225009648784
0.9733333333333334,0.014132223405285064
0.9733333333333334,0.014188532555879495
0.9733333333333334,0.014234181534561763
0.9733333333333334,0.014284316603072106
0.9733333333333334,0.01433902966018464
0.9733333333333334,0.014391325776244456
0.9733333333333334,0.014441147378832838
0.9733333333333334,0.014495631453534552
0.9733333333333334,0.014557782430950244
0.9733333333333334,0.014607303651825913
0.9733333333333334,0.014657162935448248
0.9733333333333334,0.014711809754131399
0.9666666666666667,0.01466275659824047
0.9666666666666667,0.014728288471305232
0.9666666666666667,0.014783849918433931
0.9666666666666667,0.014830725171320445
0.9666666666666667,0.014885535365978851
0.9666666666666667,0.014949994844829364
0.9666666666666667,0.015004139072847682
0.9666666666666667,0.015061805339150306
0.9666666666666667,0.015124647960780222
0.9666666666666667,0.015175300889586603
0.9666666666666667,0.01523109243697479
0.9666666666666667,0.015280851512277373
0.96,0.015239707905598476
0.96,0.01529961750956226
0.96,0.015378043571123452
0.96,0.01544567199399335
0.96,0.015507215162610381
0.96,0.015567567567567567
0.96,0.015633481706655086
0.96,0.01569995638901003
0.96,0.015770452305333478
0.96,0.01585379279973577
0.96,0.015934491534801372
0.96,0.01600711427301023
0.96,0.016060673656033905
0.96,0.016130839027668868
0.96,0.016216216216216217
0.96,0.0162748643761302
0.96,0.01634877384196185
0.96,0.01643460397169596
0.96,0.016498625114573784
0.96,0.01657649361114309
0.96,0.016645474511617155
0.96,0.016715031921067904
0.96,0.016791044776119403
0.96,0.016877637130801686
0.96,0.016959133199858673
0.96,0.017029328287606435
0.96,0.017108233337293572
0.96,0.017210469702402295
0.96,0.017295219793418207
0.96,0.017397607828923523
0.96,0.017473607571896616
0.9533333333333334,0.017432646592709985
0.9533333333333334,0.017518069337253462
0.9533333333333334,0.017597834112724586
0.9533333333333334,0.01770240158455063
0.9533333333333334,0.01778828212464237
0.9533333333333334,0.017861603797152136
0.9533333333333334,0.01794453507340946
0.9533333333333334,0.0180669614655717
0.9466666666666667,0.018038617886178863
0.94,0.01799387442572741
0.94,0.018076923076923077
0.94,0.01818416301263864
0.94,0.018264248704663213
0.94,0.018356984767608383
0.94,0.018455497382198954
0.94,0.018579522993806826
0.94,0.01867797059213141
0.9333333333333333,0.01866915588745166
0.9333333333333333,0.01876172607879925
0.9333333333333333,0.018883193957377933
0.9333333333333333,0.01898047722342733
0.9333333333333333,0.019091776898949954
0.9266666666666666,0.019069831252572368
0.9266666666666666,0.019185645272601793
0.9266666666666666,0.01928412874583796
0.9266666666666666,0.019394446769917677
0.9266666666666666,0.019511510387422795
0.9266666666666666,0.019629995763310266
0.9266666666666666,0.01977803073420603
0.9266666666666666,0.019899785254115964
0.9266666666666666,0.020023048112935753
0.9266666666666666,0.020139090118806144
0.9266666666666666,0.020259437399795948
0.92,0.02022274325908558
0.92,0.02037201062887511
0.92,0.020520446096654276
0.92,0.020674157303370785
0.92,0.0208176195504601
0.92,0.020947176684881604
0.92,0.02110091743119266
0.92,0.021243842364532018
0.92,0.02137215425120025
0.92,0.021505376344086023
0.92,0.02170493865995596
0.92,0.021887390959555907
0.92,0.0220694066847913
0.92,0.022215067611075338
0.92,0.022388059701492536
0.92,0.022582228767795778
0.92,0.02273476112026359
0.92,0.02286282306163022
0.92,0.023065351830185526
0.92,0.023259733692904096
0.92,0.02339379555856925
0.92,0.023609923011120616
0.92,0.023809523809523808
0.92,0.023958333333333335
0.9133333333333333,0.02395104895104895
0.9133333333333333,0.02417504852655726
0.9133333333333333,0.02439893143365984
0.9133333333333333,0.024582809976673246
0.9133333333333333,0.024756053487531623
0.9133333333333333,0.02494991804771444
0.9133333333333333,0.025165319617927995
0.9133333333333333,0.02540330057481921
0.9133333333333333,0.025689105569098068
0.9133333333333333,0.02586858006042296
0.9133333333333333,0.02606544901065449
0.9066666666666666,0.026138766096482798
0.9066666666666666,0.026351482270877736
0.9066666666666666,0.026583268178264268
0.9066666666666666,0.026877470355731226
0.9066666666666666,0.027064676616915424
0.9,0.027054108216432865
0.9,0.02735562310030395
0.9,0.027590435315757205
0.9,0.027904092600248037
0.9,0.028113286130778844
0.9,0.02836730405547384
0.9,0.02863202545068929
0.9,0.028858486532706284
0.9,0.02918918918918919
0.9,0.029411764705882353
0.9,0.029781601588352084
0.8933333333333333,0.029804270462633453
0.8933333333333333,0.030038108047522976
0.8933333333333333,0.030289330922242313
0.8933333333333333,0.030537830446672742
0.8866666666666667,0.030602853198343303
0.8866666666666667,0.030829856281872972
0.8866666666666667,0.03116943988750879
0.8866666666666667,0.031419796834396406
0.8866666666666667,0.03167420814479638
0.8866666666666667,0.03198653198653199
0.8866666666666667,0.03226589034449297
0.8866666666666667,0.03263002944062807
0.8866666666666667,0.03320848938826467
0.88,0.03329129886506936
0.88,0.03374233128834356
0.88,0.034108527131782945
0.88,0.03459119496855346
0.88,0.03528468323977546
0.88,0.035617916891527254
0.88,0.03593792540157909
0.88,0.03650442477876106
0.88,0.03687150837988827
0.88,0.03724604966139955
0.88,0.037703513281919454
0.8733333333333333,0.037784828381886355
0.8733333333333333,0.038225853516194924
0.8733333333333333,0.038700147710487444
0.8733333333333333,0.03915122534369396
0.8733333333333333,0.039696969696969696
0.8733333333333333,0.04036979969183359
0.8666666666666667,0.040498442367601244
0.8666666666666667,0.04099653106275623
0.8666666666666667,0.04169339320076972
0.8666666666666667,0.042166720726565035
0.8666666666666667,0.0426649163111257
0.8666666666666667,0.04320372216683283
0.8666666666666667,0.043859649122807015
0.8666666666666667,0.04452054794520548
0.8666666666666667,0.04524886877828054
0.8666666666666667,0.045774647887323945
0.8666666666666667,0.04637887977167321
0.8666666666666667,0.046948356807511735
0.8666666666666667,0.047497259773474604
0.8666666666666667,0.048130322102924845
0.86,0.048405253283302065
0.86,0.04916158536585366
0.86,0.04988399071925754
0.86,0.05058823529411765
0.86,0.051271860095389504
0.86,0.05199516324062878
0.86,0.05276073619631902
0.86,0.053504769805060144
0.86,0.05436156763590392
0.86,0.05548387096774193
0.86,0.0563564875491481
0.8533333333333334,0.056863616170590846
0.8533333333333334,0.05768364127985579
0.8533333333333334,0.0585544373284538
0.8533333333333334,0.05961807172799255
0.8533333333333334,0.06060606060606061
0.8533333333333334,0.06156806156806157
0.8533333333333334,0.06262230919765166
0.8533333333333334,0.063968015992004
0.8533333333333334,0.06510681586978637
0.8533333333333334,0.06628689798032107
0.8533333333333334,0.0675818373812038
0.8533333333333334,0.06870638754696726
0.8533333333333334,0.0700218818380744
0.8533333333333334,0.07122982749026155
0.8533333333333334,0.07260351673284175
0.8533333333333334,0.07415990730011587
0.8533333333333334,0.07551622418879056
0.8533333333333334,0.07720144752714113
0.8533333333333334,0.07896360271437385
0.8533333333333334,0.08050314465408805
0.8533333333333334,0.08226221079691516
0.8533333333333334,0.0840446487196323
0.8533333333333334,0.08596373404969779
0.8533333333333334,0.08827586206896551
0.8533333333333334,0.09026798307475317
0.8533333333333334,0.09248554913294797
0.8533333333333334,0.09488510007412898
0.8533333333333334,0.0974124809741248
0.8533333333333334,0.09992193598750976
0.8533333333333334,0.10272873194221509
0.8533333333333334,0.10561056105610561
0.8533333333333334,0.10865874363327674
0.8533333333333334,0.11169284467713787
0.8533333333333334,0.11490125673249552
0.8533333333333334,0.11851851851851852
0.8533333333333334,0.1219047619047619
0.8533333333333334,0.12610837438423644
0.8533333333333334,0.13021363173957273
0.8533333333333334,0.13473684210526315
0.8533333333333334,0.1395856052344602
0.8533333333333334,0.14446952595936793
0.8533333333333334,0.14988290398126464
0.8533333333333334,0.15609756097560976
0.8533333333333334,0.1628498727735369
0.8533333333333334,0.16976127320954906
0.8533333333333334,0.1772853185595568
0.8466666666666667,0.1837916063675832
0.84,0.19119878603945373
0.84,0.20192307692307693
0.84,0.2131979695431472
0.84,0.22661870503597123
0.8333333333333334,0.2376425855513308
0.8333333333333334,0.2535496957403651
0.8333333333333334,0.27056277056277056
0.8333333333333334,0.28935185185185186
0.82,0.30673316708229426
0.82,0.33153638814016173
0.82,0.363905325443787
0.82,0.4019607843137255
0.82,0.44727272727272727
0.7933333333333333,0.4857142857142857
0.76,0.5327102803738317
0.7,0.5706521739130435
0.5866666666666667,0.5906040268456376
